,Product Line,Package Name,Package ID,Index,Parameter,Legacy,K8s,Status
0,IST,C5900,67336,150.0,siteTime,-,2023-09-27T00:00:26Z,only found in k8s
1,IST,C5900,67336,150.0,tagName,-,TCDTBT,only found in k8s
2,IST,C5900,67336,150.0,tagAlias,-,TCDTBT,only found in k8s
3,IST,C5900,67336,150.0,value,-,-17.361114501953125,only found in k8s
4,IST,C5900,67336,151.0,siteTime,-,2023-09-27T00:01:26Z,only found in k8s
5,IST,C5900,67336,151.0,tagName,-,TCDTBT,only found in k8s
6,IST,C5900,67336,151.0,tagAlias,-,TCDTBT,only found in k8s
7,IST,C5900,67336,151.0,value,-,-17.013885498046875,only found in k8s
8,IST,C5900,67336,152.0,siteTime,-,2023-09-27T00:03:27Z,only found in k8s
9,IST,C5900,67336,152.0,tagName,-,TCDTBT,only found in k8s
10,IST,C5900,67336,152.0,tagAlias,-,TCDTBT,only found in k8s
11,IST,C5900,67336,152.0,value,-,-17.013885498046875,only found in k8s
12,IST,C5900,67336,153.0,siteTime,-,2023-09-27T00:04:27Z,only found in k8s
13,IST,C5900,67336,153.0,tagName,-,TCDTBT,only found in k8s
14,IST,C5900,67336,153.0,tagAlias,-,TCDTBT,only found in k8s
15,IST,C5900,67336,153.0,value,-,-16.31939697265625,only found in k8s
16,IST,C5900,67336,154.0,siteTime,-,2023-09-27T00:06:26Z,only found in k8s
17,IST,C5900,67336,154.0,tagName,-,TCDTBT,only found in k8s
18,IST,C5900,67336,154.0,tagAlias,-,TCDTBT,only found in k8s
19,IST,C5900,67336,154.0,value,-,-16.31939697265625,only found in k8s
20,IST,C5900,67336,155.0,siteTime,-,2023-09-27T00:07:27Z,only found in k8s
21,IST,C5900,67336,155.0,tagName,-,TCDTBT,only found in k8s
22,IST,C5900,67336,155.0,tagAlias,-,TCDTBT,only found in k8s
23,IST,C5900,67336,155.0,value,-,-16.840301513671875,only found in k8s
24,IST,C5900,67336,156.0,siteTime,-,2023-09-27T00:08:27Z,only found in k8s
25,IST,C5900,67336,156.0,tagName,-,TCDTBT,only found in k8s
26,IST,C5900,67336,156.0,tagAlias,-,TCDTBT,only found in k8s
27,IST,C5900,67336,156.0,value,-,-16.840301513671875,only found in k8s
28,IST,C5900,67336,157.0,siteTime,-,2023-09-27T00:09:27Z,only found in k8s
29,IST,C5900,67336,157.0,tagName,-,TCDTBT,only found in k8s
30,IST,C5900,67336,157.0,tagAlias,-,TCDTBT,only found in k8s
31,IST,C5900,67336,157.0,value,-,-17.1875,only found in k8s
32,IST,C5900,67336,3.0,siteTime,-,2023-09-27T00:10:00Z,only found in k8s
33,IST,C5900,67336,3.0,tagName,-,DMA_G_AP_res,only found in k8s
34,IST,C5900,67336,3.0,tagAlias,-,DMA_G_AP_res,only found in k8s
35,IST,C5900,67336,3.0,value,-,25.964399337768555,only found in k8s
36,IST,C5900,67336,158.0,siteTime,-,2023-09-27T00:10:27Z,only found in k8s
37,IST,C5900,67336,158.0,tagName,-,TCDTBT,only found in k8s
38,IST,C5900,67336,158.0,tagAlias,-,TCDTBT,only found in k8s
39,IST,C5900,67336,158.0,value,-,-17.1875,only found in k8s
40,IST,C5900,67336,159.0,siteTime,-,2023-09-27T00:11:26Z,only found in k8s
41,IST,C5900,67336,159.0,tagName,-,TCDTBT,only found in k8s
42,IST,C5900,67336,159.0,tagAlias,-,TCDTBT,only found in k8s
43,IST,C5900,67336,159.0,value,-,-17.70831298828125,only found in k8s
44,IST,C5900,67336,160.0,siteTime,-,2023-09-27T00:12:26Z,only found in k8s
45,IST,C5900,67336,160.0,tagName,-,TCDTBT,only found in k8s
46,IST,C5900,67336,160.0,tagAlias,-,TCDTBT,only found in k8s
47,IST,C5900,67336,160.0,value,-,-17.70831298828125,only found in k8s
48,IST,C5900,67336,161.0,siteTime,-,2023-09-27T00:13:27Z,only found in k8s
49,IST,C5900,67336,161.0,tagName,-,TCDTBT,only found in k8s
50,IST,C5900,67336,161.0,tagAlias,-,TCDTBT,only found in k8s
51,IST,C5900,67336,161.0,value,-,-18.22918701171875,only found in k8s
52,IST,C5900,67336,162.0,siteTime,-,2023-09-27T00:14:27Z,only found in k8s
53,IST,C5900,67336,162.0,tagName,-,TCDTBT,only found in k8s
54,IST,C5900,67336,162.0,tagAlias,-,TCDTBT,only found in k8s
55,IST,C5900,67336,162.0,value,-,-18.75,only found in k8s
56,IST,C5900,67336,163.0,siteTime,-,2023-09-27T00:17:26Z,only found in k8s
57,IST,C5900,67336,163.0,tagName,-,TCDTBT,only found in k8s
58,IST,C5900,67336,163.0,tagAlias,-,TCDTBT,only found in k8s
59,IST,C5900,67336,163.0,value,-,-18.75,only found in k8s
60,IST,C5900,67336,164.0,siteTime,-,2023-09-27T00:18:27Z,only found in k8s
61,IST,C5900,67336,164.0,tagName,-,TCDTBT,only found in k8s
62,IST,C5900,67336,164.0,tagAlias,-,TCDTBT,only found in k8s
63,IST,C5900,67336,164.0,value,-,-18.402801513671875,only found in k8s
64,IST,C5900,67336,165.0,siteTime,-,2023-09-27T00:19:27Z,only found in k8s
65,IST,C5900,67336,165.0,tagName,-,TCDTBT,only found in k8s
66,IST,C5900,67336,165.0,tagAlias,-,TCDTBT,only found in k8s
67,IST,C5900,67336,165.0,value,-,-18.402801513671875,only found in k8s
68,IST,C5900,67336,4.0,siteTime,-,2023-09-27T00:20:00Z,only found in k8s
69,IST,C5900,67336,4.0,tagName,-,DMA_G_AP_res,only found in k8s
70,IST,C5900,67336,4.0,tagAlias,-,DMA_G_AP_res,only found in k8s
71,IST,C5900,67336,4.0,value,-,25.970800399780273,only found in k8s
72,IST,C5900,67336,166.0,siteTime,-,2023-09-27T00:20:27Z,only found in k8s
73,IST,C5900,67336,166.0,tagName,-,TCDTBT,only found in k8s
74,IST,C5900,67336,166.0,tagAlias,-,TCDTBT,only found in k8s
75,IST,C5900,67336,166.0,value,-,-17.534698486328125,only found in k8s
76,IST,C5900,67336,167.0,siteTime,-,2023-09-27T00:21:27Z,only found in k8s
77,IST,C5900,67336,167.0,tagName,-,TCDTBT,only found in k8s
78,IST,C5900,67336,167.0,tagAlias,-,TCDTBT,only found in k8s
79,IST,C5900,67336,167.0,value,-,-17.534698486328125,only found in k8s
80,IST,C5900,67336,168.0,siteTime,-,2023-09-27T00:22:27Z,only found in k8s
81,IST,C5900,67336,168.0,tagName,-,TCDTBT,only found in k8s
82,IST,C5900,67336,168.0,tagAlias,-,TCDTBT,only found in k8s
83,IST,C5900,67336,168.0,value,-,-16.840301513671875,only found in k8s
84,IST,C5900,67336,169.0,siteTime,-,2023-09-27T00:23:26Z,only found in k8s
85,IST,C5900,67336,169.0,tagName,-,TCDTBT,only found in k8s
86,IST,C5900,67336,169.0,tagAlias,-,TCDTBT,only found in k8s
87,IST,C5900,67336,169.0,value,-,-16.840301513671875,only found in k8s
88,IST,C5900,67336,170.0,siteTime,-,2023-09-27T00:24:27Z,only found in k8s
89,IST,C5900,67336,170.0,tagName,-,TCDTBT,only found in k8s
90,IST,C5900,67336,170.0,tagAlias,-,TCDTBT,only found in k8s
91,IST,C5900,67336,170.0,value,-,-16.14581298828125,only found in k8s
92,IST,C5900,67336,171.0,siteTime,-,2023-09-27T00:25:27Z,only found in k8s
93,IST,C5900,67336,171.0,tagName,-,TCDTBT,only found in k8s
94,IST,C5900,67336,171.0,tagAlias,-,TCDTBT,only found in k8s
95,IST,C5900,67336,171.0,value,-,-16.14581298828125,only found in k8s
96,IST,C5900,67336,172.0,siteTime,-,2023-09-27T00:26:27Z,only found in k8s
97,IST,C5900,67336,172.0,tagName,-,TCDTBT,only found in k8s
98,IST,C5900,67336,172.0,tagAlias,-,TCDTBT,only found in k8s
99,IST,C5900,67336,172.0,value,-,-15.625,only found in k8s
100,IST,C5900,67336,173.0,siteTime,-,2023-09-27T00:27:27Z,only found in k8s
101,IST,C5900,67336,173.0,tagName,-,TCDTBT,only found in k8s
102,IST,C5900,67336,173.0,tagAlias,-,TCDTBT,only found in k8s
103,IST,C5900,67336,173.0,value,-,-15.625,only found in k8s
104,IST,C5900,67336,174.0,siteTime,-,2023-09-27T00:28:26Z,only found in k8s
105,IST,C5900,67336,174.0,tagName,-,TCDTBT,only found in k8s
106,IST,C5900,67336,174.0,tagAlias,-,TCDTBT,only found in k8s
107,IST,C5900,67336,174.0,value,-,-15.972198486328125,only found in k8s
108,IST,C5900,67336,175.0,siteTime,-,2023-09-27T00:29:27Z,only found in k8s
109,IST,C5900,67336,175.0,tagName,-,TCDTBT,only found in k8s
110,IST,C5900,67336,175.0,tagAlias,-,TCDTBT,only found in k8s
111,IST,C5900,67336,175.0,value,-,-16.14581298828125,only found in k8s
112,IST,C5900,67336,5.0,siteTime,-,2023-09-27T00:30:00Z,only found in k8s
113,IST,C5900,67336,5.0,tagName,-,DMA_G_AP_res,only found in k8s
114,IST,C5900,67336,5.0,tagAlias,-,DMA_G_AP_res,only found in k8s
115,IST,C5900,67336,5.0,value,-,25.963300704956055,only found in k8s
116,IST,C5900,67336,176.0,siteTime,-,2023-09-27T00:30:27Z,only found in k8s
117,IST,C5900,67336,176.0,tagName,-,TCDTBT,only found in k8s
118,IST,C5900,67336,176.0,tagAlias,-,TCDTBT,only found in k8s
119,IST,C5900,67336,176.0,value,-,-16.493011474609375,only found in k8s
120,IST,C5900,67336,177.0,siteTime,-,2023-09-27T00:31:27Z,only found in k8s
121,IST,C5900,67336,177.0,tagName,-,TCDTBT,only found in k8s
122,IST,C5900,67336,177.0,tagAlias,-,TCDTBT,only found in k8s
123,IST,C5900,67336,177.0,value,-,-16.493011474609375,only found in k8s
124,IST,C5900,67336,178.0,siteTime,-,2023-09-27T00:32:27Z,only found in k8s
125,IST,C5900,67336,178.0,tagName,-,TCDTBT,only found in k8s
126,IST,C5900,67336,178.0,tagAlias,-,TCDTBT,only found in k8s
127,IST,C5900,67336,178.0,value,-,-17.013885498046875,only found in k8s
128,IST,C5900,67336,179.0,siteTime,-,2023-09-27T00:33:27Z,only found in k8s
129,IST,C5900,67336,179.0,tagName,-,TCDTBT,only found in k8s
130,IST,C5900,67336,179.0,tagAlias,-,TCDTBT,only found in k8s
131,IST,C5900,67336,179.0,value,-,-17.1875,only found in k8s
